Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,url,is_active,in_hof
Danny Ainge,1982,1995,G,6-4,175,"March 17, 1959",Brigham Young University,/players/a/aingeda01.html,False,False
Matthew Aitch,1968,1968,F,6-7,230,"September 21, 1944",Michigan State University,/players/a/aitchma01.html,False,False
Alexis Ajinca,2009,2017,C,7-2,248,"May 6, 1988",,/players/a/ajincal01.html,True,False
Henry Akin,1967,1969,C-F,6-10,225,"July 31, 1944",Morehead State University,/players/a/akinhe01.html,False,False
Josh Akognon,2013,2013,G,5-11,185,"February 10, 1986","Washington State University, California State University, Fullerton",/players/a/akognjo01.html,False,False
Solomon Alabi,2011,2012,C,7-1,251,"March 21, 1988",Florida State University,/players/a/alabiso01.html,False,False
Mark Alarie,1987,1991,F,6-8,217,"December 11, 1963",Duke University,/players/a/alarima01.html,False,False
Gary Alcorn,1960,1961,C,6-9,225,"October 8, 1936","California State University, Fresno",/players/a/alcorga01.html,False,False
Furkan Aldemir,2015,2015,F-C,6-10,240,"August 9, 1991",,/players/a/aldemfu01.html,False,False
Cole Aldrich,2011,2018,C,6-11,250,"October 31, 1988",University of Kansas,/players/a/aldrico01.html,True,False
LaMarcus Aldridge,2007,2018,F-C,6-11,260,"July 19, 1985",University of Texas at Austin,/players/a/aldrila01.html,True,False
Chuck Aleksinas,1985,1985,C,6-11,260,"February 26, 1959","University of Kentucky, University of Connecticut",/players/a/aleksch01.html,False,False
Cliff Alexander,2016,2016,F,6-8,245,"November 16, 1995",University of Kansas,/players/a/alexacl01.html,True,False
Cory Alexander,1996,2005,G,6-1,185,"June 22, 1973",University of Virginia,/players/a/alexaco01.html,False,False
Courtney Alexander,2001,2003,G,6-5,205,"April 27, 1977","University of Virginia, California State University, Fresno",/players/a/alexaco02.html,False,False
Gary Alexander,1994,1994,F,6-7,240,"November 1, 1969",University of South Florida,/players/a/alexaga01.html,False,False
Joe Alexander,2009,2010,F,6-8,230,"December 26, 1986",West Virginia University,/players/a/alexajo01.html,False,False
Victor Alexander,1992,2002,C-F,6-9,265,"August 31, 1969",Iowa State University,/players/a/alexavi01.html,False,False
Steve Alford,1988,1991,G,6-2,183,"November 23, 1964",Indiana University,/players/a/alforst01.html,False,False
Bill Allen,1968,1968,C-F,6-8,205,,New Mexico State University,/players/a/allenbi01.html,False,False
Bob Allen,1969,1969,F,6-9,205,"July 17, 1946",Marshall University,/players/a/allenbo01.html,False,False
Jarrett Allen,2018,2018,F-C,6-10,234,"April 21, 1998",University of Texas at Austin,/players/a/allenja01.html,True,False
Jerome Allen,1996,1997,G,6-4,184,"January 28, 1973",University of Pennsylvania,/players/a/allenje01.html,False,False
Kadeem Allen,2018,2018,G,6-3,192,"January 15, 1993",University of Arizona,/players/a/allenka01.html,True,False
Lavoy Allen,2012,2017,F-C,6-9,260,"February 4, 1989",Temple University,/players/a/allenla01.html,True,False
Lucius Allen,1970,1979,G,6-2,175,"September 26, 1947","University of California, Los Angeles",/players/a/allenlu01.html,False,False
Malik Allen,2002,2011,F-C,6-10,255,"June 27, 1978",Villanova University,/players/a/allenma01.html,False,False
Randy Allen,1989,1990,F,6-8,220,"January 26, 1965",Florida State University,/players/a/allenra01.html,False,False
Ray Allen*,1997,2014,G,6-5,205,"July 20, 1975",University of Connecticut,/players/a/allenra02.html,False,True
Tony Allen,2005,2018,G-F,6-4,213,"January 11, 1982","Butler County Community College, Oklahoma State University",/players/a/allento01.html,True,False
Willie Allen,1972,1972,F,6-6,230,"February 8, 1949",University of Miami,/players/a/allenwi01.html,False,False
Odis Allison,1972,1972,F,6-6,195,"October 2, 1949","University of Nevada, Las Vegas",/players/a/allisod01.html,False,False
Lance Allred,2008,2008,C,6-11,250,"February 2, 1981","University of Utah, Weber State University",/players/a/allrela01.html,False,False
Darrell Allums,1981,1981,F,6-9,220,"September 12, 1958","University of California, Los Angeles",/players/a/allumda01.html,False,False
Morris Almond,2008,2012,G,6-6,225,"February 2, 1985",Rice University,/players/a/almonmo01.html,False,False
Derrick Alston,1995,1997,F,6-11,225,"August 20, 1972",Duquesne University,/players/a/alstode01.html,False,False
Rafer Alston,2000,2010,G,6-2,171,"July 24, 1976","California State University, Fresno",/players/a/alstora01.html,False,False
Peter Aluma,1999,1999,C,6-10,260,"April 23, 1973",Liberty University,/players/a/alumape01.html,False,False
John Amaechi,1996,2003,C-F,6-10,270,"November 26, 1970","Vanderbilt University, Pennsylvania State University",/players/a/amaecjo01.html,False,False
Ashraf Amaya,1996,1997,F,6-8,230,"November 23, 1971",Southern Illinois University,/players/a/amayaas01.html,False,False
Al-Farouq Aminu,2011,2018,F,6-9,220,"September 21, 1990",Wake Forest University,/players/a/aminual01.html,True,False
Lou Amundson,2007,2016,F,6-9,220,"December 7, 1982","University of Nevada, Las Vegas",/players/a/amundlo01.html,False,False
Bob Anderegg,1960,1960,F-G,6-3,200,"August 24, 1937",Michigan State University,/players/a/anderbo01.html,False,False
Chris Andersen,2002,2017,F-C,6-10,245,"July 7, 1978",Blinn College,/players/a/anderch01.html,False,False
David Andersen,2010,2011,C,6-11,245,"June 23, 1980",,/players/a/anderda03.html,False,False
Alan Anderson,2006,2017,G-F,6-6,220,"October 16, 1982",Michigan State University,/players/a/anderal01.html,True,False
Andrew Anderson,1968,1970,G,6-2,184,"July 6, 1945",Canisius College,/players/a/anderan01.html,False,False
Antonio Anderson,2010,2010,G,6-6,215,"June 5, 1985",University of Memphis,/players/a/anderan02.html,False,False
Cliff Anderson,1968,1971,G-F,6-2,200,"September 7, 1944",Saint Joseph's University,/players/a/andercl01.html,False,False
Dan Anderson,1968,1969,C,6-10,230,"February 15, 1943",Augsburg College,/players/a/anderda01.html,False,False
Dan Anderson,1975,1976,G,6-2,185,"January 1, 1951",University of Southern California,/players/a/anderda02.html,False,False
Derek Anderson,1998,2008,G,6-5,194,"July 18, 1974","Ohio State University, University of Kentucky",/players/a/anderde01.html,False,False
Dwight Anderson,1983,1983,G,6-3,185,"December 28, 1960","University of Kentucky, University of Southern California",/players/a/anderdw01.html,False,False
Eric Anderson,1993,1994,F,6-9,220,"May 26, 1970",Indiana University,/players/a/anderer01.html,False,False
Greg Anderson,1988,1998,F-C,6-10,230,"June 22, 1964",University of Houston,/players/a/andergr01.html,False,False
J.J. Anderson,1983,1985,F,6-8,195,"September 23, 1960",Bradley University,/players/a/anderjj01.html,False,False
James Anderson,2011,2016,G-F,6-6,213,"March 25, 1989",Oklahoma State University,/players/a/anderja01.html,False,False
Jerome Anderson,1976,1977,G,6-5,195,"October 9, 1953",West Virginia University,/players/a/anderje01.html,False,False
Justin Anderson,2016,2018,G,6-6,228,"November 19, 1993",University of Virginia,/players/a/anderju01.html,True,False
Kenny Anderson,1992,2005,G,6-0,168,"October 9, 1970",Georgia Institute of Technology,/players/a/anderke01.html,False,False
Kim Anderson,1979,1979,F,6-7,200,"May 12, 1955",University of Missouri,/players/a/anderki01.html,False,False
Kyle Anderson,2015,2018,F-G,6-9,230,"September 20, 1993","University of California, Los Angeles",/players/a/anderky01.html,True,False
Michael Anderson,1989,1989,G,5-11,184,"March 23, 1966",Drexel University,/players/a/andermi01.html,False,False
Nick Anderson,1990,2002,F-G,6-6,205,"January 20, 1968",University of Illinois at Urbana-Champaign,/players/a/anderni01.html,False,False
Richard Anderson,1983,1990,F-C,6-10,240,"November 19, 1960","University of California, Santa Barbara",/players/a/anderri01.html,False,False
Ron Anderson,1985,1994,F-G,6-7,215,"October 15, 1958","California State University, Fresno",/players/a/anderro01.html,False,False
Ryan Anderson,2009,2018,F,6-10,240,"May 6, 1988",University of California,/players/a/anderry01.html,True,False
Shandon Anderson,1997,2006,F-G,6-6,208,"December 31, 1973",University of Georgia,/players/a/andersh01.html,False,False
Willie Anderson,1989,1997,G-F,6-7,190,"January 8, 1967",University of Georgia,/players/a/anderwi01.html,False,False
Wally Anderzunas,1970,1970,C-F,6-7,220,"January 11, 1946",Creighton University,/players/a/anderwa01.html,False,False
Martynas Andriuskevicius,2006,2006,C,7-2,240,"March 12, 1986",,/players/a/andrima01.html,False,False
Don Anielak,1955,1955,F,6-7,190,"November 1, 1930",Missouri State University,/players/a/anieldo01.html,False,False
Ike Anigbogu,2018,2018,F-C,6-10,252,"October 22, 1998","University of California, Los Angeles",/players/a/anigbik01.html,True,False
Michael Ansley,1990,1992,F,6-7,225,"February 8, 1967",University of Alabama,/players/a/anslemi01.html,False,False
Chris Anstey,1998,2000,C,7-0,249,"January 1, 1975",,/players/a/anstech01.html,False,False
Giannis Antetokounmpo,2014,2018,F-G,6-11,222,"December 6, 1994",,/players/a/antetgi01.html,True,False
Thanasis Antetokounmpo,2016,2016,F,6-7,205,"July 17, 1992",,/players/a/antetth01.html,False,False
Carmelo Anthony,2004,2018,F,6-8,240,"May 29, 1984",Syracuse University,/players/a/anthoca01.html,True,False
Greg Anthony,1992,2002,G,6-0,176,"November 15, 1967","University of Portland, University of Nevada, Las Vegas",/players/a/anthogr01.html,False,False
Joel Anthony,2008,2017,C,6-9,245,"August 9, 1982","University of Nevada, Las Vegas",/players/a/anthojo01.html,False,False
Pero Antic,2014,2015,C-F,6-11,260,"July 29, 1982",,/players/a/anticpe01.html,False,False
OG Anunoby,2018,2018,F,6-8,232,"July 17, 1997",Indiana University,/players/a/anunoog01.html,True,False
Keith Appling,2016,2016,G,6-1,185,"February 13, 1992",Michigan State University,/players/a/applike01.html,False,False
Rafael Araujo,2005,2007,C,6-11,280,"August 12, 1980",Brigham Young University,/players/a/araujra01.html,False,False
Stacey Arceneaux,1962,1962,F,6-4,210,"February 17, 1936",Iowa State University,/players/a/arcenst01.html,False,False
Robert Archibald,2003,2004,F,6-11,250,"March 29, 1980",University of Illinois at Urbana-Champaign,/players/a/archiro01.html,False,False
Tiny Archibald*,1971,1984,G,6-1,150,"September 2, 1948",University of Texas at El Paso,/players/a/architi01.html,False,True
Ryan Arcidiacono,2018,2018,G,6-3,188,"March 26, 1994",Villanova University,/players/a/arcidry01.html,True,False
Jim Ard,1971,1978,F-C,6-8,215,"September 19, 1948",University of Cincinnati,/players/a/ardji01.html,False,False
Gilbert Arenas,2002,2012,G,6-3,191,"January 6, 1982",University of Arizona,/players/a/arenagi01.html,False,False
Trevor Ariza,2005,2018,F,6-8,215,"June 30, 1985","University of California, Los Angeles",/players/a/arizatr01.html,True,False
Paul Arizin*,1951,1962,F-G,6-4,190,"April 9, 1928",Villanova University,/players/a/arizipa01.html,False,True
Joe Arlauckas,1988,1988,F,6-9,230,"July 20, 1965",Niagara University,/players/a/arlaujo01.html,False,False
B.J. Armstrong,1990,2000,G,6-2,175,"September 9, 1967",University of Iowa,/players/a/armstbj01.html,False,False
Bob Armstrong,1957,1957,C-F,6-8,220,"June 17, 1933",Michigan State University,/players/a/armstbo01.html,False,False
Brandon Armstrong,2002,2004,G,6-5,188,"June 16, 1980",Pepperdine University,/players/a/armstbr01.html,False,False
Curly Armstrong,1949,1951,G-F,5-11,170,"November 1, 1918",Indiana University,/players/a/armstcu01.html,False,False
Darrell Armstrong,1995,2008,G,6-0,170,"June 22, 1968",Fayetteville State University,/players/a/armstda01.html,False,False
Hilton Armstrong,2007,2014,F-C,6-11,235,"November 11, 1984",University of Connecticut,/players/a/armsthi01.html,False,False
Tate Armstrong,1978,1979,G,6-3,175,"October 5, 1955",Duke University,/players/a/armstta01.html,False,False
Jesse Arnelle,1956,1956,F,6-5,220,"December 30, 1933",Pennsylvania State University,/players/a/arnelje01.html,False,False
Jay Arnette,1964,1966,G,6-2,175,"December 19, 1938",University of Texas at Austin,/players/a/arnetja01.html,False,False
Bob Arnzen,1970,1974,F,6-5,205,"November 3, 1947",University of Notre Dame,/players/a/arnzebo01.html,False,False
Carlos Arroyo,2002,2011,G,6-2,202,"July 30, 1979",Florida International University,/players/a/arroyca01.html,False,False
Darrell Arthur,2009,2018,F,6-9,235,"March 25, 1988",University of Kansas,/players/a/arthuda01.html,True,False
John Arthurs,1970,1970,G,6-4,185,"August 15, 1947",Tulane University,/players/a/arthujo01.html,False,False
Jamel Artis,2018,2018,G-F,6-7,213,"January 12, 1993",University of Pittsburgh,/players/a/artisja01.html,True,False
Omer Asik,2011,2018,C,7-0,255,"July 4, 1986",,/players/a/asikom01.html,True,False
Vincent Askew,1988,1998,G-F,6-6,210,"February 28, 1966",University of Memphis,/players/a/askewvi01.html,False,False
Keith Askins,1991,1999,G-F,6-7,197,"December 15, 1967",University of Alabama,/players/a/askinke01.html,False,False
Don Asmonga,1954,1954,G,6-2,185,"February 15, 1928",Alliance College,/players/a/asmondo01.html,False,False
Dick Atha,1956,1958,G,6-2,190,"September 21, 1931",Indiana State University,/players/a/athadi01.html,False,False
Chucky Atkins,2000,2010,G,5-11,160,"August 14, 1974",University of South Florida,/players/a/atkinch01.html,False,False
Al Attles,1961,1971,G,6-0,175,"November 7, 1936",North Carolina Agricultural and Technical State University,/players/a/attleal01.html,False,False
Chet Aubuchon,1947,1947,G,5-10,137,"May 18, 1916",Michigan State University,/players/a/aubucch01.html,False,False
Stacey Augmon,1992,2006,F-G,6-8,205,"August 1, 1968","University of Nevada, Las Vegas",/players/a/augmost01.html,False,False
D.J. Augustin,2009,2018,G,6-0,183,"November 10, 1987",University of Texas at Austin,/players/a/augusdj01.html,True,False
James Augustine,2007,2008,F,6-10,235,"February 27, 1984",University of Illinois at Urbana-Champaign,/players/a/augusja01.html,False,False
Isaac Austin,1992,2002,C,6-10,255,"August 18, 1969",Arizona State University,/players/a/austiis01.html,False,False
Johnny Austin,1967,1968,G,6-0,170,"August 31, 1944",Boston College,/players/a/austijo01.html,False,False
Ken Austin,1984,1984,F,6-9,205,"July 15, 1961",Rice University,/players/a/austike01.html,False,False
Anthony Avent,1993,2000,F,6-9,235,"October 18, 1969",Seton Hall University,/players/a/aventan01.html,False,False
Bird Averitt,1974,1978,G,6-1,170,"July 22, 1952",Pepperdine University,/players/a/averibi01.html,False,False
William Avery,2000,2002,G,6-2,197,"August 8, 1979",Duke University,/players/a/averywi01.html,False,False
Dennis Awtrey,1971,1982,C,6-10,235,"February 22, 1948",Santa Clara University,/players/a/awtrede01.html,False,False
Gustavo Ayon,2012,2014,C,6-10,250,"April 1, 1985",,/players/a/ayongu01.html,False,False
Jeff Ayres,2010,2016,F,6-9,240,"April 29, 1987",Arizona State University,/players/p/pendeje02.html,False,False
Kelenna Azubuike,2007,2012,G,6-5,220,"December 16, 1983",University of Kentucky,/players/a/azubuke01.html,False,False
Chris Babb,2014,2014,G,6-5,225,"February 14, 1990","Pennsylvania State University, Iowa State University",/players/b/babbch01.html,False,False
Luke Babbitt,2011,2018,F,6-9,225,"June 20, 1989","University of Nevada, Reno",/players/b/babbilu01.html,True,False
Milos Babic,1991,1992,C-F,7-0,240,"November 23, 1968",Tennessee Technological University,/players/b/babicmi01.html,False,False
Johnny Bach,1949,1949,F-G,6-2,180,"July 10, 1924",Fordham University,/players/b/bachjo01.html,False,False
Dwayne Bacon,2018,2018,G,6-6,222,"August 30, 1995",Florida State University,/players/b/bacondw01.html,True,False
Henry Bacon,1973,1973,G,6-3,205,"July 5, 1948",University of Louisville,/players/b/baconhe01.html,False,False
Jim Baechtold,1953,1957,F-G,6-4,205,"December 9, 1927",Eastern Kentucky University,/players/b/baechji01.html,False,False
Dalibor Bagaric,2001,2003,C,7-1,255,"February 7, 1980",,/players/b/bagarda01.html,False,False
John Bagley,1983,1994,G,6-0,185,"April 23, 1960",Boston College,/players/b/baglejo01.html,False,False
Carl Bailey,1982,1982,C,7-0,210,"April 23, 1958",Tuskegee University,/players/b/baileca01.html,False,False
Gus Bailey,1975,1980,G-F,6-5,185,"February 18, 1951",University of Texas at El Paso,/players/b/bailegu01.html,False,False
James Bailey,1980,1988,F-C,6-9,220,"May 21, 1957",Rutgers University,/players/b/baileja01.html,False,False
Thurl Bailey,1984,1999,F-C,6-11,215,"April 7, 1961",North Carolina State University,/players/b/baileth01.html,False,False
Toby Bailey,1999,2000,G,6-6,213,"November 19, 1975","University of California, Los Angeles",/players/b/baileto01.html,False,False
Cameron Bairstow,2015,2016,F-C,6-9,250,"December 7, 1990",University of New Mexico,/players/b/bairsca01.html,False,False
Jimmie Baker,1976,1976,F,6-9,220,"December 25, 1953",University of Hawaii,/players/b/bakerji01.html,False,False
LaMark Baker,1999,1999,G,6-1,175,"November 11, 1969",Ohio State University,/players/b/bakerla01.html,False,False
Maurice Baker,2005,2005,G,6-1,175,"July 28, 1979",Oklahoma State University,/players/b/bakerma01.html,False,False
Norm Baker,1947,1947,G,6-0,180,"February 17, 1923",,/players/b/bakerno01.html,False,False
Ron Baker,2017,2018,G,6-4,220,"March 30, 1993",Wichita State University,/players/b/bakerro01.html,True,False
Vin Baker,1994,2006,F,6-11,232,"November 23, 1971",University of Hartford,/players/b/bakervi01.html,False,False
Wade Baldwin,2017,2018,G,6-4,202,"March 29, 1996",Vanderbilt University,/players/b/baldwwa01.html,True,False
Renaldo Balkman,2007,2012,F,6-8,208,"July 14, 1984",University of South Carolina,/players/b/balkmre01.html,False,False
Cedric Ball,1991,1991,F,6-8,210,"April 16, 1968",University of North Carolina at Charlotte,/players/b/ballce01.html,False,False
Lonzo Ball,2018,2018,G,6-6,190,"October 27, 1997","University of California, Los Angeles",/players/b/balllo01.html,True,False
Greg Ballard,1978,1989,F,6-7,215,"January 29, 1955",University of Oregon,/players/b/ballagr01.html,False,False
Herschel Baltimore,1947,1947,F,6-4,195,"June 21, 1921",Pennsylvania State University,/players/b/baltihe01.html,False,False
Gene Banks,1982,1987,F-G,6-7,215,"May 15, 1959",Duke University,/players/b/banksge01.html,False,False
Marcus Banks,2004,2011,G,6-2,200,"November 19, 1981","University of Nevada, Las Vegas",/players/b/banksma01.html,False,False
Walker Banks,1971,1971,C,6-10,205,"August 26, 1947",Western Kentucky University,/players/b/bankswa01.html,False,False
Ken Bannister,1985,1991,F-C,6-9,235,"April 1, 1960","Indiana State University, Saint Augustine's College",/players/b/bannike01.html,False,False
Mike Bantom,1974,1982,F-C,6-9,200,"December 3, 1951",Saint Joseph's University,/players/b/bantomi01.html,False,False
John Barber,1957,1957,F,6-6,210,"June 27, 1927","California State University, Los Angeles",/players/b/barbejo01.html,False,False
Leandro Barbosa,2004,2017,G,6-3,194,"November 28, 1982",,/players/b/barbole01.html,False,False
Steve Bardo,1992,1996,G,6-5,190,"April 5, 1968",University of Illinois at Urbana-Champaign,/players/b/bardost01.html,False,False
J.J. Barea,2007,2018,G,6-0,185,"June 26, 1984",Northeastern University,/players/b/bareajo01.html,True,False
Andrea Bargnani,2007,2016,F-C,7-0,245,"October 26, 1985",,/players/b/bargnan01.html,False,False
Cliff Barker,1950,1952,G,6-2,185,"January 15, 1921",University of Kentucky,/players/b/barkecl01.html,False,False
Tom Barker,1977,1979,C-F,6-11,225,"March 11, 1955",University of Hawaii,/players/b/barketo01.html,False,False
Charles Barkley*,1985,2000,F,6-6,252,"February 20, 1963",Auburn University,/players/b/barklch01.html,False,True
Erick Barkley,2001,2002,G,6-1,177,"February 21, 1978",St. John's University,/players/b/barkler01.html,False,False
Don Barksdale*,1952,1955,F-C,6-6,200,"March 31, 1923","University of California, Los Angeles",/players/b/barksdo01.html,False,True
Harrison Barnes,2013,2018,F,6-8,210,"May 30, 1992",University of North Carolina,/players/b/barneha02.html,True,False
Harry Barnes,1969,1969,F,6-3,205,"July 25, 1945",Northeastern University,/players/b/barneha01.html,False,False
Jim Barnes,1965,1971,C-F,6-8,210,"April 13, 1941",University of Texas at El Paso,/players/b/barneji01.html,False,False
Marvin Barnes,1975,1980,F-C,6-8,210,"July 27, 1952",Providence College,/players/b/barnema01.html,False,False
Matt Barnes,2004,2017,F,6-7,226,"March 9, 1980","University of California, Los Angeles",/players/b/barnema02.html,False,False
Dick Barnett,1960,1974,G-F,6-4,190,"October 2, 1936",Tennessee State University,/players/b/barnedi01.html,False,False
Jim Barnett,1967,1977,G-F,6-4,170,"July 7, 1944",University of Oregon,/players/b/barneji02.html,False,False
Nathaniel Barnett,1976,1976,G,6-3,175,"January 29, 1953",University of Akron,/players/b/barnena01.html,False,False
John Barnhill,1963,1972,G,6-1,180,"March 20, 1938",Tennessee State University,/players/b/barnhjo01.html,False,False
Norton Barnhill,1977,1977,G,6-4,205,"July 15, 1953",Washington State University,/players/b/barnhno01.html,False,False
Leo Barnhorst,1950,1954,F-G,6-4,190,"May 11, 1924",University of Notre Dame,/players/b/barnhle01.html,False,False
John Barr,1947,1947,F,6-3,205,"August 8, 1918",Pennsylvania State University,/players/b/barrjo01.html,False,False
Mike Barr,1973,1977,G,6-3,180,"October 19, 1950",Duquesne University,/players/b/barrmi01.html,False,False
Moe Barr,1971,1971,G,6-4,195,"June 19, 1944",Duquesne University,/players/b/barrmo01.html,False,False
Andre Barrett,2005,2008,G,5-10,172,"February 21, 1982",Seton Hall University,/players/b/barrean01.html,False,False
Ernie Barrett,1954,1956,G-F,6-3,180,"August 27, 1929",Kansas State University,/players/b/barreer01.html,False,False
Mike Barrett,1970,1973,G,6-2,155,"September 5, 1943",West Virginia University Institute of Technology,/players/b/barremi01.html,False,False
Earl Barron,2006,2015,C,7-0,250,"August 14, 1981",University of Memphis,/players/b/barroea01.html,False,False
Dana Barros,1990,2004,G,5-11,163,"April 13, 1967",Boston College,/players/b/barroda01.html,False,False
Brent Barry,1996,2009,G,6-6,185,"December 31, 1971",Oregon State University,/players/b/barrybr01.html,False,False
Drew Barry,1998,2000,G,6-5,191,"February 17, 1973",Georgia Institute of Technology,/players/b/barrydr01.html,False,False
Jon Barry,1993,2006,G,6-4,195,"July 25, 1969","University of the Pacific, Georgia Institute of Technology",/players/b/barryjo01.html,False,False
Rick Barry*,1966,1980,F,6-7,205,"March 28, 1944",University of Miami,/players/b/barryri01.html,False,True
Ed Bartels,1950,1951,F,6-5,195,"October 8, 1925",North Carolina State University,/players/b/barteed01.html,False,False
Vic Bartolome,1972,1972,C,7-0,230,"September 29, 1948",Oregon State University,/players/b/bartovi01.html,False,False
Will Barton,2013,2018,G,6-6,175,"January 6, 1991",University of Memphis,/players/b/bartowi01.html,True,False
Eddie Basden,2006,2006,G,6-5,215,"February 15, 1983",University of North Carolina at Charlotte,/players/b/basdeed01.html,False,False
Jerry Baskerville,1976,1976,F,6-7,190,"November 10, 1951",Temple University,/players/b/baskeje01.html,False,False
Brandon Bass,2006,2017,F,6-8,250,"April 30, 1985",Louisiana State University,/players/b/bassbr01.html,False,False
Tim Bassett,1974,1980,F-C,6-8,225,"April 1, 1951",University of Georgia,/players/b/basseti01.html,False,False
Maceo Baston,2003,2009,F,6-9,215,"May 29, 1975",University of Michigan,/players/b/bastoma01.html,False,False
Mengke Bateer,2002,2004,C,6-11,290,"November 20, 1975",,/players/b/bateeme01.html,False,False
Billy Ray Bates,1980,1983,G,6-4,210,"May 31, 1956",Kentucky State University,/players/b/batesbi01.html,False,False
Esteban Batista,2006,2007,F-C,6-10,270,"September 2, 1983",,/players/b/batises01.html,False,False
Mike Batiste,2003,2003,F,6-8,225,"November 21, 1977",Arizona State University,/players/b/batismi01.html,False,False
Tony Battie,1998,2012,C-F,6-11,230,"February 11, 1976",Texas Tech University,/players/b/battito01.html,False,False
Shane Battier,2002,2014,F,6-8,220,"September 9, 1978",Duke University,/players/b/battish01.html,False,False
John Battle,1986,1995,G,6-2,175,"November 9, 1962",Rutgers University,/players/b/battljo01.html,False,False
Kenny Battle,1990,1993,F,6-6,210,"October 10, 1964","Northern Illinois University, University of Illinois at Urbana-Champaign",/players/b/battlke01.html,False,False
Dave Batton,1983,1984,C,6-10,240,"March 26, 1956",University of Notre Dame,/players/b/battoda01.html,False,False
Lloyd Batts,1975,1975,G-F,6-4,185,"May 9, 1951",University of Cincinnati,/players/b/battsll01.html,False,False
Nicolas Batum,2009,2018,F-G,6-8,200,"December 14, 1988",,/players/b/batumni01.html,True,False
Johnny Baum,1970,1974,F,6-5,200,"June 17, 1946",Temple University,/players/b/baumjo01.html,False,False
Frankie Baumholtz,1947,1947,G,5-10,170,"October 7, 1918",Ohio University,/players/b/baumhfr01.html,False,False
Lonny Baxter,2003,2006,F,6-8,260,"January 27, 1979",University of Maryland,/players/b/baxtelo01.html,False,False
