Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,url,is_active,in_hof,career_games,career_win_shares,peak_ws,aba_years,n_chips,nba_asg,leaderboard_points,hof_as_player,hof_pr
David Andersen,2010,2011,C,83,245,"June 23, 1980",,/players/a/anderda03.html,False,False,103,1.5,1.2993750000000002,0,0,0,0,0,0.0
Alan Anderson,2006,2017,G-F,78,220,"October 16, 1982",Michigan State University,/players/a/anderal01.html,True,False,330,7.4,2.7249999999999996,0,0,0,0,0,0.0
Andrew Anderson,1968,1970,G,74,184,"July 6, 1945",Canisius College,/players/a/anderan01.html,False,False,194,3.5,,3,0,0,0,0,0.0
Antonio Anderson,2010,2010,G,78,215,"June 5, 1985",University of Memphis,/players/a/anderan02.html,False,False,1,0.0,-0.032499999999999994,0,0,0,0,0,0.0
Cliff Anderson,1968,1971,G-F,74,200,"September 7, 1944",Saint Joseph's University,/players/a/andercl01.html,False,False,84,0.3,0.3793125,1,0,0,0,0,0.0
Dan Anderson,1968,1969,C,82,230,"February 15, 1943",Augsburg College,/players/a/anderda01.html,False,False,140,10.9,,2,0,0,0,0,0.0
Dan Anderson,1975,1976,G,74,185,"January 1, 1951",University of Southern California,/players/a/anderda02.html,False,False,95,1.6,1.1000833333333333,0,0,0,0,0,0.0
Derek Anderson,1998,2008,G,77,194,"July 18, 1974","Ohio State University, University of Kentucky",/players/a/anderde01.html,False,False,615,43.9,9.887375,0,1,0,0,0,0.002
Dwight Anderson,1983,1983,G,75,185,"December 28, 1960","University of Kentucky, University of Southern California",/players/a/anderdw01.html,False,False,5,0.0,0.0006875000000000001,0,0,0,0,0,0.0
Eric Anderson,1993,1994,F,81,220,"May 26, 1970",Indiana University,/players/a/anderer01.html,False,False,27,0.2,0.08341666666666665,0,0,0,0,0,0.0
Greg Anderson,1988,1998,F-C,82,230,"June 22, 1964",University of Houston,/players/a/andergr01.html,False,False,680,18.7,3.4514375000000004,0,0,0,8,0,0.0
J.J. Anderson,1983,1985,F,80,195,"September 23, 1960",Bradley University,/players/a/anderjj01.html,False,False,157,2.7,2.4282083333333335,0,0,0,0,0,0.0
James Anderson,2011,2016,G-F,78,213,"March 25, 1989",Oklahoma State University,/players/a/anderja01.html,False,False,247,3.3,1.8760625,0,0,0,0,0,0.0
Jerome Anderson,1976,1977,G,77,195,"October 9, 1953",West Virginia University,/players/a/anderje01.html,False,False,49,0.4,0.315,0,1,0,0,0,0.0
Justin Anderson,2016,2019,G,78,230,"November 19, 1993",University of Virginia,/players/a/anderju01.html,True,False,193,4.3,1.8931666666666667,0,0,0,0,0,0.0
Kenny Anderson,1992,2005,G,72,168,"October 9, 1970",Georgia Institute of Technology,/players/a/anderke01.html,False,False,858,62.5,12.3881875,0,0,1,30,0,0.022000000000000002
Kim Anderson,1979,1979,F,79,200,"May 12, 1955",University of Missouri,/players/a/anderki01.html,False,False,21,-0.4,-0.36400000000000005,0,0,0,0,0,0.0
Kyle Anderson,2015,2019,F-G,81,230,"September 20, 1993","University of California, Los Angeles",/players/a/anderky01.html,True,False,298,15.3,6.222458333333333,0,0,0,0,0,0.0
Michael Anderson,1989,1989,G,71,184,"March 23, 1966",Drexel University,/players/a/andermi01.html,False,False,36,0.2,0.15208333333333332,0,0,0,0,0,0.0
Nick Anderson,1990,2002,F-G,78,205,"January 20, 1968",University of Illinois at Urbana-Champaign,/players/a/anderni01.html,False,False,800,55.3,8.303166666666668,0,0,0,0,0,0.0
Richard Anderson,1983,1990,F-C,82,240,"November 19, 1960","University of California, Santa Barbara",/players/a/anderri01.html,False,False,407,7.6,2.30625,0,0,0,0,0,0.0
Ron Anderson,1985,1994,F-G,79,215,"October 15, 1958","California State University, Fresno",/players/a/anderro01.html,False,False,664,24.2,4.4178749999999996,0,0,0,0,0,0.0
Ryan Anderson,2009,2019,F,82,240,"May 6, 1988",University of California,/players/a/anderry01.html,True,False,637,46.7,8.960749999999999,0,0,0,0,0,0.0
Shandon Anderson,1997,2006,F-G,78,208,"December 31, 1973",University of Georgia,/players/a/andersh01.html,False,False,719,23.6,4.89375,0,1,0,0,0,0.0
Willie Anderson,1989,1997,G-F,79,190,"January 8, 1967",University of Georgia,/players/a/anderwi01.html,False,False,555,27.9,6.44725,0,0,0,0,0,0.0
Wally Anderzunas,1970,1970,C-F,79,220,"January 11, 1946",Creighton University,/players/a/anderwa01.html,False,False,44,-0.2,-0.17729166666666665,0,0,0,0,0,0.0
Martynas Andriuskevicius,2006,2006,C,86,240,"March 12, 1986",,/players/a/andrima01.html,False,False,6,0.0,0.0290625,0,0,0,0,0,0.0
Don Anielak,1955,1955,F,79,190,"November 1, 1930",Missouri State University,/players/a/anieldo01.html,False,False,1,-0.1,-0.05479166666666666,0,0,0,0,0,0.0
Ike Anigbogu,2018,2019,F-C,82,250,"October 17, 1998","University of California, Los Angeles",/players/a/anigbik01.html,True,False,14,0.0,0.10312500000000001,0,0,0,0,0,0.0
Michael Ansley,1990,1992,F,79,225,"February 8, 1967",University of Alabama,/players/a/anslemi01.html,False,False,149,6.4,3.2814375000000005,0,0,0,0,0,0.0
Chris Anstey,1998,2000,C,84,249,"January 1, 1975",,/players/a/anstech01.html,False,False,155,2.8,1.8881249999999998,0,0,0,0,0,0.0
Giannis Antetokounmpo,2014,2019,F-G,83,242,"December 6, 1994",,/players/a/antetgi01.html,True,False,437,47.1,12.446874999999999,0,0,2,30,0,0.013000000000000001
Thanasis Antetokounmpo,2016,2016,F,79,205,"July 17, 1992",,/players/a/antetth01.html,False,False,2,0.0,0.036375,0,0,0,0,0,0.0
Carmelo Anthony,2004,2019,F,80,240,"May 29, 1984",Syracuse University,/players/a/anthoca01.html,True,False,1064,101.0,10.6855,0,0,10,55,0,0.982
Greg Anthony,1992,2002,G,72,176,"November 15, 1967","University of Portland, University of Nevada, Las Vegas",/players/a/anthogr01.html,False,False,757,35.9,5.4835,0,0,0,0,0,0.0
Joel Anthony,2008,2017,C,81,245,"August 9, 1982","University of Nevada, Las Vegas",/players/a/anthojo01.html,False,False,490,15.3,3.4287083333333332,0,2,0,0,0,0.0
Pero Antic,2014,2015,C-F,83,260,"July 29, 1982",,/players/a/anticpe01.html,False,False,113,3.0,1.5122916666666668,0,0,0,0,0,0.0
OG Anunoby,2018,2019,F,80,232,"July 17, 1997",Indiana University,/players/a/anunoog01.html,True,False,114,4.0,3.0237083333333334,0,0,0,0,0,0.0
Keith Appling,2016,2016,G,73,185,"February 13, 1992",Michigan State University,/players/a/applike01.html,False,False,5,-0.1,-0.11193750000000001,0,0,0,0,0,0.0
Rafael Araujo,2005,2007,C,83,280,"August 12, 1980",Brigham Young University,/players/a/araujra01.html,False,False,139,-0.4,0.24533333333333332,0,0,0,0,0,0.0
Stacey Arceneaux,1962,1962,F,76,210,"February 17, 1936",Iowa State University,/players/a/arcenst01.html,False,False,7,-0.1,-0.08249999999999999,0,0,0,0,0,0.0
Robert Archibald,2003,2004,F,83,250,"March 29, 1980",University of Illinois at Urbana-Champaign,/players/a/archiro01.html,False,False,44,0.0,0.208,0,0,0,0,0,0.0
Tiny Archibald,1971,1984,G,73,150,"September 2, 1948",University of Texas at El Paso,/players/a/architi01.html,False,True,876,83.4,14.263874999999999,0,1,6,115,1,0.9840000000000001
Ryan Arcidiacono,2018,2019,G,75,200,"March 26, 1994",Villanova University,/players/a/arcidry01.html,True,False,72,2.4,2.1113125,0,0,0,0,0,0.0
Jim Ard,1971,1978,F-C,80,215,"September 19, 1948",University of Cincinnati,/players/a/ardji01.html,False,False,431,4.0,0.9240833333333333,4,1,0,0,0,0.0
Gilbert Arenas,2002,2012,G,75,191,"January 6, 1982",University of Arizona,/players/a/arenagi01.html,False,False,552,51.3,13.606499999999999,0,0,3,61,0,0.242
Trevor Ariza,2005,2019,F,80,215,"June 30, 1985","University of California, Los Angeles",/players/a/arizatr01.html,True,False,986,58.7,7.9988125,0,1,0,43,0,0.001
Paul Arizin,1951,1962,F-G,76,190,"April 9, 1928",Villanova University,/players/a/arizipa01.html,False,True,713,108.8,15.9808125,0,1,10,111,1,1.0
Joe Arlauckas,1988,1988,F,81,230,"July 20, 1965",Niagara University,/players/a/arlaujo01.html,False,False,9,-0.1,-0.0796875,0,0,0,0,0,0.0
B.J. Armstrong,1990,2000,G,74,175,"September 9, 1967",University of Iowa,/players/a/armstbj01.html,False,False,747,45.0,8.1605,0,3,1,0,0,0.02
Bob Armstrong,1957,1957,C-F,80,220,"June 17, 1933",Michigan State University,/players/a/armstbo01.html,False,False,19,-0.1,-0.144375,0,0,0,0,0,0.0
Brandon Armstrong,2002,2004,G,77,188,"June 16, 1980",Pepperdine University,/players/a/armstbr01.html,False,False,108,-0.6,-0.07187500000000001,0,0,0,0,0,0.0
Curly Armstrong,1949,1951,G-F,71,170,"November 1, 1918",Indiana University,/players/a/armstcu01.html,False,False,153,7.1,3.5,0,0,0,0,0,0.0
Darrell Armstrong,1995,2008,G,72,170,"June 22, 1968",Fayetteville State University,/players/a/armstda01.html,False,False,840,49.8,8.704520833333333,0,0,0,19,0,0.001
Hilton Armstrong,2007,2014,F-C,83,235,"November 11, 1984",University of Connecticut,/players/a/armsthi01.html,False,False,292,3.9,1.547,0,0,0,0,0,0.0
Tate Armstrong,1978,1979,G,75,175,"October 5, 1955",Duke University,/players/a/armstta01.html,False,False,92,0.3,0.40275,0,0,0,0,0,0.0
Jesse Arnelle,1956,1956,F,77,220,"December 30, 1933",Pennsylvania State University,/players/a/arnelje01.html,False,False,31,0.0,-0.008520833333333333,0,0,0,0,0,0.0
Jay Arnette,1964,1966,G,74,175,"December 19, 1938",University of Texas at Austin,/players/a/arnetja01.html,False,False,114,0.1,0.104375,0,0,0,0,0,0.0
Bob Arnzen,1970,1974,F,77,205,"November 3, 1947",University of Notre Dame,/players/a/arnzebo01.html,False,False,111,1.4,1.01475,3,0,0,0,0,0.0
Carlos Arroyo,2002,2011,G,74,202,"July 30, 1979",Florida International University,/players/a/arroyca01.html,False,False,569,20.1,4.685333333333333,0,0,0,0,0,0.0
Darrell Arthur,2009,2018,F,81,235,"March 25, 1988",University of Kansas,/players/a/arthuda01.html,True,False,503,12.3,3.787854166666667,0,0,0,0,0,0.0
John Arthurs,1970,1970,G,76,185,"August 15, 1947",Tulane University,/players/a/arthujo01.html,False,False,11,0.0,-0.0071666666666666675,0,0,0,0,0,0.0
Jamel Artis,2018,2018,G-F,79,213,"January 12, 1993",University of Pittsburgh,/players/a/artisja01.html,True,False,15,0.0,-0.034874999999999996,0,0,0,0,0,0.0
Omer Asik,2011,2018,C,84,255,"July 4, 1986",,/players/a/asikom01.html,True,False,471,20.9,5.5440000000000005,0,0,0,14,0,0.0
Vincent Askew,1988,1998,G-F,78,210,"February 28, 1966",University of Memphis,/players/a/askewvi01.html,False,False,467,22.1,5.950208333333333,0,0,0,0,0,0.0
Keith Askins,1991,1999,G-F,79,197,"December 15, 1967",University of Alabama,/players/a/askinke01.html,False,False,486,14.5,4.3868125000000004,0,0,0,0,0,0.0
Don Asmonga,1954,1954,G,74,185,"February 15, 1928",Alliance College,/players/a/asmondo01.html,False,False,7,-0.3,-0.26737500000000003,0,0,0,0,0,0.0
Dick Atha,1956,1958,G,74,190,"September 21, 1931",Indiana State University,/players/a/athadi01.html,False,False,43,0.6,0.45599999999999996,0,0,0,0,0,0.0
Chucky Atkins,2000,2010,G,71,160,"August 14, 1974",University of South Florida,/players/a/atkinch01.html,False,False,696,27.9,5.093645833333333,0,0,0,0,0,0.0
Al Attles,1961,1971,G,72,175,"November 7, 1936",North Carolina Agricultural and Technical State University,/players/a/attleal01.html,False,False,711,36.5,5.602979166666667,0,0,0,4,0,0.0
Chet Aubuchon,1947,1947,G,70,137,"May 18, 1916",Michigan State University,/players/a/aubucch01.html,False,False,30,1.2,1.2,0,0,0,0,0,0.0
Stacey Augmon,1992,2006,F-G,80,205,"August 1, 1968","University of Nevada, Las Vegas",/players/a/augmost01.html,False,False,1001,43.8,9.714479166666665,0,0,0,0,0,0.001
D.J. Augustin,2009,2019,G,72,183,"November 10, 1987",University of Texas at Austin,/players/a/augusdj01.html,True,False,774,38.6,6.422125,0,0,0,0,0,0.0
James Augustine,2007,2008,F,82,235,"February 27, 1984",University of Illinois at Urbana-Champaign,/players/a/augusja01.html,False,False,27,0.3,0.30420833333333336,0,0,0,0,0,0.0
Isaac Austin,1992,2002,C,82,255,"August 18, 1969",Arizona State University,/players/a/austiis01.html,False,False,432,9.2,3.997125,0,0,0,0,0,0.0
Johnny Austin,1967,1968,G,72,170,"August 31, 1944",Boston College,/players/a/austijo01.html,False,False,45,0.9,-0.05464583333333333,1,0,0,0,0,0.0
Ken Austin,1984,1984,F,81,205,"July 15, 1961",Rice University,/players/a/austike01.html,False,False,7,0.0,-0.026833333333333334,0,0,0,0,0,0.0
Anthony Avent,1993,2000,F,81,235,"October 18, 1969",Seton Hall University,/players/a/aventan01.html,False,False,352,0.3,1.532375,0,0,0,0,0,0.0
Bird Averitt,1974,1978,G,73,170,"July 22, 1952",Pepperdine University,/players/a/averibi01.html,False,False,366,3.9,-0.18308333333333335,3,0,0,0,0,0.0
William Avery,2000,2002,G,74,197,"August 8, 1979",Duke University,/players/a/averywi01.html,False,False,142,-0.9,-0.0289375,0,0,0,0,0,0.0
Dennis Awtrey,1971,1982,C,82,235,"February 22, 1948",Santa Clara University,/players/a/awtrede01.html,False,False,733,22.4,5.1420625,0,1,0,0,0,0.0
Gustavo Ayon,2012,2014,C,82,250,"April 1, 1985",,/players/a/ayongu01.html,False,False,135,5.1,3.218666666666666,0,0,0,0,0,0.0
Jeff Ayres,2010,2016,F,81,240,"April 29, 1987",Arizona State University,/players/p/pendeje02.html,False,False,237,6.3,2.399833333333333,0,1,0,0,0,0.0
Deandre Ayton,2019,2019,C,85,250,"July 23, 1998",University of Arizona,/players/a/aytonde01.html,True,False,47,4.4,4.3741666666666665,0,0,0,0,0,0.0
Kelenna Azubuike,2007,2012,G,77,220,"December 16, 1983",University of Kentucky,/players/a/azubuke01.html,False,False,208,9.3,4.106770833333333,0,0,0,0,0,0.0
Chris Babb,2014,2014,G,77,225,"February 14, 1990","Pennsylvania State University, Iowa State University",/players/b/babbch01.html,False,False,14,0.0,-0.022000000000000002,0,0,0,0,0,0.0
Luke Babbitt,2011,2018,F,81,225,"June 20, 1989","University of Nevada, Reno",/players/b/babbilu01.html,True,False,381,7.2,1.7971875,0,0,0,0,0,0.0
Milos Babic,1991,1992,C-F,84,240,"November 23, 1968",Tennessee Technological University,/players/b/babicmi01.html,False,False,21,-0.1,0.0415625,0,0,0,0,0,0.0
